energy_eV,dos,integrated_dos
-26.230,0.5739E-85,0.1148E-86
-26.210,0.5739E-85,0.2295E-86
-26.190,0.5739E-85,0.3443E-86
-26.170,0.5739E-85,0.4591E-86
-26.150,0.5739E-85,0.5739E-86
-26.130,0.5739E-85,0.6886E-86
-26.110,0.5739E-85,0.8034E-86
-26.090,0.5739E-85,0.9182E-86
-26.070,0.5739E-85,0.1033E-85
-26.050,0.5739E-85,0.1148E-85
-26.030,0.5739E-85,0.1262E-85
-26.010,0.5739E-85,0.1377E-85
-25.990,0.5739E-85,0.1492E-85
-25.970,0.5739E-85,0.1607E-85
-25.950,0.5739E-85,0.1722E-85
-25.930,0.5739E-85,0.1836E-85
-25.910,0.5739E-85,0.1951E-85
-25.890,0.5739E-85,0.2066E-85
-25.870,0.5739E-85,0.2181E-85
-25.850,0.5739E-85,0.2295E-85
-25.830,0.5739E-85,0.2410E-85
-25.810,0.5739E-85,0.2525E-85
-25.790,0.5739E-85,0.2640E-85
-25.770,0.5739E-85,0.2755E-85
-25.750,0.5739E-85,0.2869E-85
-25.730,0.5739E-85,0.2984E-85
-25.710,0.5739E-85,0.3099E-85
-25.690,0.5739E-85,0.3214E-85
-25.670,0.5739E-85,0.3328E-85
-25.650,0.5739E-85,0.3443E-85
-25.630,0.5739E-85,0.3558E-85
-25.610,0.5739E-85,0.3673E-85
-25.590,0.5739E-85,0.3787E-85
-25.570,0.5739E-85,0.3902E-85
-25.550,0.5739E-85,0.4017E-85
-25.530,0.5739E-85,0.4132E-85
-25.510,0.5739E-85,0.4247E-85
-25.490,0.5739E-85,0.4361E-85
-25.470,0.5739E-85,0.4476E-85
-25.450,0.5739E-85,0.4591E-85
-25.430,0.5739E-85,0.4706E-85
-25.410,0.5739E-85,0.4820E-85
-25.390,0.5739E-85,0.4935E-85
-25.370,0.5739E-85,0.5050E-85
-25.350,0.5739E-85,0.5165E-85
-25.330,0.5739E-85,0.5280E-85
-25.310,0.5739E-85,0.5394E-85
-25.290,0.5739E-85,0.5509E-85
-25.270,0.5739E-85,0.5624E-85
-25.250,0.5739E-85,0.5739E-85
-25.230,0.5739E-85,0.5853E-85
-25.210,0.5739E-85,0.5968E-85
-25.190,0.5739E-85,0.6083E-85
-25.170,0.5739E-85,0.6198E-85
-25.150,0.5739E-85,0.6312E-85
-25.130,0.5739E-85,0.6427E-85
-25.110,0.5739E-85,0.6542E-85
-25.090,0.5739E-85,0.6657E-85
-25.070,0.6554E-85,0.6788E-85
-25.050,0.1616E-84,0.7111E-85
-25.030,0.9128E-84,0.8937E-85
-25.010,0.6723E-83,0.2238E-84
-24.990,0.5117E-82,0.1247E-83
-24.970,0.3876E-81,0.9000E-83
-24.950,0.2907E-80,0.6713E-82
-24.930,0.2156E-79,0.4984E-81
-24.910,0.1583E-78,0.3663E-80
-24.890,0.1149E-77,0.2664E-79
-24.870,0.8252E-77,0.1917E-78
-24.850,0.5863E-76,0.1364E-77
-24.830,0.4121E-75,0.9607E-77
-24.810,0.2866E-74,0.6692E-76
-24.790,0.1971E-73,0.4611E-75
-24.770,0.1341E-72,0.3144E-74
-24.750,0.9028E-72,0.2120E-73
-24.730,0.6012E-71,0.1414E-72
-24.710,0.3960E-70,0.9335E-72
-24.690,0.2581E-69,0.6095E-71
-24.670,0.1664E-68,0.3937E-70
-24.650,0.1061E-67,0.2516E-69
-24.630,0.6695E-67,0.1591E-68
-24.610,0.4178E-66,0.9947E-68
-24.590,0.2580E-65,0.6154E-67
-24.570,0.1576E-64,0.3767E-66
-24.550,0.9520E-64,0.2281E-65
-24.530,0.5690E-63,0.1366E-64
-24.510,0.3365E-62,0.8095E-64
-24.490,0.1968E-61,0.4746E-63
-24.470,0.1139E-60,0.2752E-62
-24.450,0.6519E-60,0.1579E-61
-24.430,0.3692E-59,0.8962E-61
-24.410,0.2068E-58,0.5032E-60
-24.390,0.1146E-57,0.2795E-59
-24.370,0.6283E-57,0.1536E-58
-24.350,0.3407E-56,0.8351E-58
-24.330,0.1828E-55,0.4491E-57
-24.310,0.9703E-55,0.2390E-56
-24.290,0.5094E-54,0.1258E-55
-24.270,0.2646E-53,0.6550E-55
-24.250,0.1360E-52,0.3374E-54
-24.230,0.6910E-52,0.1719E-53
-24.210,0.3475E-51,0.8669E-53
-24.190,0.1728E-50,0.4324E-52
-24.170,0.8505E-50,0.2133E-51
-24.150,0.4140E-49,0.1041E-50
-24.130,0.1994E-48,0.5029E-50
-24.110,0.9498E-48,0.2403E-49
-24.090,0.4476E-47,0.1135E-48
-24.070,0.2087E-46,0.5309E-48
-24.050,0.9624E-46,0.2456E-47
-24.030,0.4391E-45,0.1124E-46
-24.010,0.1982E-44,0.5087E-46
-23.990,0.8848E-44,0.2278E-45
-23.970,0.3908E-43,0.1009E-44
-23.950,0.1708E-42,0.4425E-44
-23.930,0.7381E-42,0.1919E-43
-23.910,0.3156E-41,0.8231E-43
-23.890,0.1335E-40,0.3493E-42
-23.870,0.5587E-40,0.1467E-41
-23.850,0.2313E-39,0.6092E-41
-23.830,0.9471E-39,0.2503E-40
-23.810,0.3837E-38,0.1018E-39
-23.790,0.1538E-37,0.4093E-39
-23.770,0.6096E-37,0.1629E-38
-23.750,0.2391E-36,0.6410E-38
-23.730,0.9276E-36,0.2496E-37
-23.710,0.3560E-35,0.9617E-37
-23.690,0.1352E-34,0.3665E-36
-23.670,0.5077E-34,0.1382E-35
-23.650,0.1887E-33,0.5155E-35
-23.630,0.6935E-33,0.1902E-34
-23.610,0.2522E-32,0.6946E-34
-23.590,0.9071E-32,0.2509E-33
-23.570,0.3228E-31,0.8965E-33
-23.550,0.1136E-30,0.3169E-32
