energy_eV,dos,integrated_dos
-25.993,0.1205E-84,0.2410E-86
-25.973,0.1205E-84,0.4820E-86
-25.953,0.1205E-84,0.7231E-86
-25.933,0.1205E-84,0.9641E-86
-25.913,0.1205E-84,0.1205E-85
-25.893,0.1205E-84,0.1446E-85
-25.873,0.1205E-84,0.1687E-85
-25.853,0.1205E-84,0.1928E-85
-25.833,0.1205E-84,0.2169E-85
-25.813,0.1205E-84,0.2410E-85
-25.793,0.1205E-84,0.2651E-85
-25.773,0.1205E-84,0.2892E-85
-25.753,0.1205E-84,0.3133E-85
-25.733,0.1205E-84,0.3374E-85
-25.713,0.1205E-84,0.3615E-85
-25.693,0.1205E-84,0.3856E-85
-25.673,0.1205E-84,0.4097E-85
-25.653,0.1205E-84,0.4338E-85
-25.633,0.1205E-84,0.4579E-85
-25.613,0.1205E-84,0.4820E-85
-25.593,0.1205E-84,0.5061E-85
-25.573,0.1205E-84,0.5302E-85
-25.553,0.1205E-84,0.5544E-85
-25.533,0.1205E-84,0.5785E-85
-25.513,0.1205E-84,0.6026E-85
-25.493,0.1205E-84,0.6267E-85
-25.473,0.1205E-84,0.6508E-85
-25.453,0.1205E-84,0.6749E-85
-25.433,0.1205E-84,0.6990E-85
-25.413,0.1205E-84,0.7231E-85
-25.393,0.1205E-84,0.7472E-85
-25.373,0.1205E-84,0.7713E-85
-25.353,0.1205E-84,0.7954E-85
-25.333,0.1205E-84,0.8195E-85
-25.313,0.1205E-84,0.8436E-85
-25.293,0.1205E-84,0.8677E-85
-25.273,0.1205E-84,0.8918E-85
-25.253,0.1205E-84,0.9159E-85
-25.233,0.1205E-84,0.9400E-85
-25.213,0.1205E-84,0.9641E-85
-25.193,0.1205E-84,0.9882E-85
-25.173,0.1205E-84,0.1012E-84
-25.153,0.1205E-84,0.1036E-84
-25.133,0.1205E-84,0.1060E-84
-25.113,0.1205E-84,0.1085E-84
-25.093,0.1205E-84,0.1109E-84
-25.073,0.1205E-84,0.1133E-84
-25.053,0.1205E-84,0.1157E-84
-25.033,0.1205E-84,0.1181E-84
