energy_eV,dos,integrated_dos
-23.739,0.6886E-85,0.1377E-86
-23.719,0.6886E-85,0.2755E-86
-23.699,0.6886E-85,0.4132E-86
-23.679,0.6886E-85,0.5509E-86
-23.659,0.6886E-85,0.6886E-86
-23.639,0.6886E-85,0.8264E-86
-23.619,0.6886E-85,0.9641E-86
-23.599,0.6886E-85,0.1102E-85
-23.579,0.6886E-85,0.1240E-85
-23.559,0.6886E-85,0.1377E-85
-23.539,0.6886E-85,0.1515E-85
-23.519,0.6886E-85,0.1653E-85
-23.499,0.6886E-85,0.1790E-85
-23.479,0.6886E-85,0.1928E-85
-23.459,0.6886E-85,0.2066E-85
-23.439,0.6886E-85,0.2204E-85
-23.419,0.6886E-85,0.2341E-85
-23.399,0.6886E-85,0.2479E-85
-23.379,0.6886E-85,0.2617E-85
-23.359,0.6886E-85,0.2755E-85
-23.339,0.6886E-85,0.2892E-85
-23.319,0.6886E-85,0.3030E-85
-23.299,0.6886E-85,0.3168E-85
-23.279,0.6886E-85,0.3305E-85
-23.259,0.6886E-85,0.3443E-85
-23.239,0.6886E-85,0.3581E-85
-23.219,0.6886E-85,0.3719E-85
-23.199,0.6886E-85,0.3856E-85
-23.179,0.6886E-85,0.3994E-85
-23.159,0.6886E-85,0.4132E-85
-23.139,0.6886E-85,0.4270E-85
-23.119,0.6886E-85,0.4407E-85
-23.099,0.6886E-85,0.4545E-85
-23.079,0.6886E-85,0.4683E-85
-23.059,0.6886E-85,0.4820E-85
-23.039,0.6886E-85,0.4958E-85
-23.019,0.6886E-85,0.5096E-85
-22.999,0.6886E-85,0.5234E-85
-22.979,0.6886E-85,0.5371E-85
-22.959,0.6886E-85,0.5509E-85
-22.939,0.6886E-85,0.5647E-85
-22.919,0.6886E-85,0.5785E-85
-22.899,0.6886E-85,0.5922E-85
-22.879,0.6886E-85,0.6060E-85
-22.859,0.6886E-85,0.6198E-85
-22.839,0.6886E-85,0.6335E-85
-22.819,0.6886E-85,0.6473E-85
-22.799,0.6886E-85,0.6611E-85
-22.779,0.6886E-85,0.6749E-85
-22.759,0.6886E-85,0.6886E-85
-22.739,0.6886E-85,0.7024E-85
-22.719,0.6886E-85,0.7162E-85
-22.699,0.6886E-85,0.7300E-85
-22.679,0.6886E-85,0.7437E-85
-22.659,0.6886E-85,0.7575E-85
-22.639,0.6886E-85,0.7713E-85
-22.619,0.6886E-85,0.7850E-85
-22.599,0.6886E-85,0.7988E-85
-22.579,0.7685E-85,0.8142E-85
-22.559,0.1718E-84,0.8485E-85
-22.539,0.9141E-84,0.1031E-84
-22.519,0.6655E-83,0.2362E-84
-22.499,0.5058E-82,0.1248E-83
-22.479,0.3831E-81,0.8910E-83
-22.459,0.2873E-80,0.6636E-82
-22.439,0.2131E-79,0.4926E-81
-22.419,0.1564E-78,0.3621E-80
-22.399,0.1136E-77,0.2634E-79
-22.379,0.8158E-77,0.1895E-78
-22.359,0.5797E-76,0.1349E-77
-22.339,0.4075E-75,0.9498E-77
-22.319,0.2833E-74,0.6617E-76
-22.299,0.1949E-73,0.4560E-75
-22.279,0.1326E-72,0.3109E-74
-22.259,0.8929E-72,0.2097E-73
-22.239,0.5946E-71,0.1399E-72
-22.219,0.3917E-70,0.9234E-72
-22.199,0.2553E-69,0.6029E-71
-22.179,0.1646E-68,0.3895E-70
-22.159,0.1050E-67,0.2489E-69
-22.139,0.6623E-67,0.1574E-68
-22.119,0.4134E-66,0.9841E-68
-22.099,0.2552E-65,0.6089E-67
-22.079,0.1559E-64,0.3727E-66
-22.059,0.9421E-64,0.2257E-65
-22.039,0.5631E-63,0.1352E-64
-22.019,0.3330E-62,0.8012E-64
-21.999,0.1948E-61,0.4697E-63
-21.979,0.1127E-60,0.2724E-62
-21.959,0.6453E-60,0.1563E-61
-21.939,0.3655E-59,0.8872E-61
-21.919,0.2047E-58,0.4982E-60
-21.899,0.1135E-57,0.2768E-59
-21.879,0.6221E-57,0.1521E-58
-21.859,0.3374E-56,0.8269E-58
-21.839,0.1810E-55,0.4448E-57
-21.819,0.9609E-55,0.2367E-56
-21.799,0.5045E-54,0.1246E-55
-21.779,0.2621E-53,0.6487E-55
-21.759,0.1347E-52,0.3342E-54
-21.739,0.6845E-52,0.1703E-53
-21.719,0.3442E-51,0.8588E-53
-21.699,0.1712E-50,0.4283E-52
-21.679,0.8427E-50,0.2114E-51
-21.659,0.4102E-49,0.1032E-50
-21.639,0.1976E-48,0.4983E-50
-21.619,0.9412E-48,0.2381E-49
-21.599,0.4436E-47,0.1125E-48
-21.579,0.2068E-46,0.5262E-48
-21.559,0.9539E-46,0.2434E-47
-21.539,0.4352E-45,0.1114E-46
-21.519,0.1965E-44,0.5043E-46
-21.499,0.8772E-44,0.2259E-45
-21.479,0.3875E-43,0.1001E-44
-21.459,0.1693E-42,0.4387E-44
-21.439,0.7319E-42,0.1902E-43
-21.419,0.3130E-41,0.8162E-43
-21.399,0.1324E-40,0.3464E-42
-21.379,0.5541E-40,0.1455E-41
-21.359,0.2294E-39,0.6042E-41
-21.339,0.9394E-39,0.2483E-40
-21.319,0.3806E-38,0.1009E-39
-21.299,0.1525E-37,0.4060E-39
-21.279,0.6048E-37,0.1616E-38
-21.259,0.2372E-36,0.6359E-38
-21.239,0.9203E-36,0.2477E-37
-21.219,0.3533E-35,0.9542E-37
-21.199,0.1341E-34,0.3637E-36
-21.179,0.5039E-34,0.1371E-35
-21.159,0.1872E-33,0.5116E-35
-21.139,0.6882E-33,0.1888E-34
-21.119,0.2503E-32,0.6894E-34
-21.099,0.9004E-32,0.2490E-33
-21.079,0.3204E-31,0.8898E-33
-21.059,0.1128E-30,0.3146E-32
-21.039,0.3929E-30,0.1100E-31
