energy_eV,dos,integrated_dos
-31.926,0.6886E-85,0.1377E-86
-31.906,0.6886E-85,0.2755E-86
-31.886,0.6886E-85,0.4132E-86
-31.866,0.6886E-85,0.5509E-86
-31.846,0.6886E-85,0.6886E-86
-31.826,0.6886E-85,0.8264E-86
-31.806,0.6886E-85,0.9641E-86
-31.786,0.6886E-85,0.1102E-85
-31.766,0.6886E-85,0.1240E-85
-31.746,0.6886E-85,0.1377E-85
-31.726,0.6886E-85,0.1515E-85
-31.706,0.6886E-85,0.1653E-85
-31.686,0.6886E-85,0.1790E-85
-31.666,0.6886E-85,0.1928E-85
-31.646,0.6886E-85,0.2066E-85
-31.626,0.6886E-85,0.2204E-85
-31.606,0.6886E-85,0.2341E-85
-31.586,0.6886E-85,0.2479E-85
-31.566,0.6886E-85,0.2617E-85
-31.546,0.6886E-85,0.2755E-85
-31.526,0.6886E-85,0.2892E-85
-31.506,0.6886E-85,0.3030E-85
-31.486,0.6886E-85,0.3168E-85
-31.466,0.6886E-85,0.3305E-85
-31.446,0.6886E-85,0.3443E-85
-31.426,0.6886E-85,0.3581E-85
-31.406,0.6886E-85,0.3719E-85
-31.386,0.6886E-85,0.3856E-85
-31.366,0.6886E-85,0.3994E-85
-31.346,0.6886E-85,0.4132E-85
-31.326,0.6886E-85,0.4270E-85
-31.306,0.6886E-85,0.4407E-85
-31.286,0.6886E-85,0.4545E-85
-31.266,0.6886E-85,0.4683E-85
-31.246,0.6886E-85,0.4820E-85
-31.226,0.6886E-85,0.4958E-85
-31.206,0.6886E-85,0.5096E-85
-31.186,0.6886E-85,0.5234E-85
-31.166,0.6886E-85,0.5371E-85
-31.146,0.6886E-85,0.5509E-85
-31.126,0.6886E-85,0.5647E-85
-31.106,0.6886E-85,0.5785E-85
-31.086,0.6886E-85,0.5922E-85
-31.066,0.6886E-85,0.6060E-85
-31.046,0.6886E-85,0.6198E-85
-31.026,0.6886E-85,0.6335E-85
-31.006,0.6886E-85,0.6473E-85
-30.986,0.6886E-85,0.6611E-85
-30.966,0.6886E-85,0.6749E-85
-30.946,0.6886E-85,0.6886E-85
-30.926,0.6886E-85,0.7024E-85
-30.906,0.6886E-85,0.7162E-85
-30.886,0.6886E-85,0.7300E-85
-30.866,0.6886E-85,0.7437E-85
-30.846,0.6886E-85,0.7575E-85
-30.826,0.6886E-85,0.7713E-85
-30.806,0.6886E-85,0.7850E-85
-30.786,0.6886E-85,0.7988E-85
-30.766,0.7667E-85,0.8142E-85
-30.746,0.1704E-84,0.8482E-85
-30.726,0.9030E-84,0.1029E-84
-30.706,0.6570E-83,0.2343E-84
-30.686,0.4994E-82,0.1233E-83
-30.666,0.3782E-81,0.8797E-83
-30.646,0.2836E-80,0.6552E-82
-30.626,0.2104E-79,0.4864E-81
-30.606,0.1545E-78,0.3576E-80
-30.586,0.1122E-77,0.2601E-79
-30.566,0.8057E-77,0.1871E-78
-30.546,0.5725E-76,0.1332E-77
-30.526,0.4025E-75,0.9381E-77
-30.506,0.2799E-74,0.6536E-76
-30.486,0.1925E-73,0.4504E-75
-30.466,0.1310E-72,0.3071E-74
-30.446,0.8821E-72,0.2071E-73
-30.426,0.5875E-71,0.1382E-72
-30.406,0.3871E-70,0.9124E-72
-30.386,0.2523E-69,0.5958E-71
-30.366,0.1627E-68,0.3849E-70
-30.346,0.1037E-67,0.2460E-69
-30.326,0.6546E-67,0.1555E-68
-30.306,0.4086E-66,0.9728E-68
-30.286,0.2523E-65,0.6019E-67
-30.266,0.1541E-64,0.3684E-66
-30.246,0.9314E-64,0.2231E-65
-30.226,0.5568E-63,0.1337E-64
-30.206,0.3293E-62,0.7922E-64
-30.186,0.1926E-61,0.4645E-63
-30.166,0.1115E-60,0.2694E-62
-30.146,0.6382E-60,0.1546E-61
-30.126,0.3615E-59,0.8775E-61
-30.106,0.2025E-58,0.4928E-60
-30.086,0.1122E-57,0.2738E-59
-30.066,0.6154E-57,0.1505E-58
-30.046,0.3338E-56,0.8181E-58
-30.026,0.1791E-55,0.4400E-57
-30.006,0.9508E-55,0.2342E-56
-29.986,0.4993E-54,0.1233E-55
-29.966,0.2593E-53,0.6420E-55
-29.946,0.1333E-52,0.3307E-54
-29.926,0.6775E-52,0.1686E-53
-29.906,0.3407E-51,0.8500E-53
-29.886,0.1695E-50,0.4240E-52
-29.866,0.8342E-50,0.2092E-51
-29.846,0.4061E-49,0.1022E-50
-29.826,0.1956E-48,0.4934E-50
-29.806,0.9320E-48,0.2357E-49
-29.786,0.4393E-47,0.1114E-48
-29.766,0.2048E-46,0.5210E-48
-29.746,0.9447E-46,0.2410E-47
-29.726,0.4311E-45,0.1103E-46
-29.706,0.1946E-44,0.4995E-46
-29.686,0.8689E-44,0.2237E-45
-29.666,0.3838E-43,0.9914E-45
-29.646,0.1677E-42,0.4346E-44
-29.626,0.7251E-42,0.1885E-43
-29.606,0.3101E-41,0.8087E-43
-29.586,0.1312E-40,0.3432E-42
-29.566,0.5491E-40,0.1441E-41
-29.546,0.2273E-39,0.5988E-41
-29.526,0.9310E-39,0.2461E-40
-29.506,0.3772E-38,0.1001E-39
-29.486,0.1512E-37,0.4024E-39
-29.466,0.5995E-37,0.1601E-38
-29.446,0.2352E-36,0.6304E-38
-29.426,0.9125E-36,0.2455E-37
-29.406,0.3503E-35,0.9461E-37
-29.386,0.1330E-34,0.3606E-36
-29.366,0.4996E-34,0.1360E-35
-29.346,0.1857E-33,0.5073E-35
-29.326,0.6826E-33,0.1873E-34
-29.306,0.2482E-32,0.6837E-34
-29.286,0.8931E-32,0.2470E-33
-29.266,0.3179E-31,0.8827E-33
-29.246,0.1119E-30,0.3121E-32
-29.226,0.3898E-30,0.1092E-31
-29.206,0.1343E-29,0.3778E-31
-29.186,0.4577E-29,0.1293E-30
-29.166,0.1543E-28,0.4380E-30
-29.146,0.5148E-28,0.1468E-29
-29.126,0.1699E-27,0.4865E-29
-29.106,0.5545E-27,0.1596E-28
-29.086,0.1791E-26,0.5177E-28
-29.066,0.5721E-26,0.1662E-27
-29.046,0.1808E-25,0.5278E-27
-29.026,0.5652E-25,0.1658E-26
-29.006,0.1748E-24,0.5154E-26
-28.986,0.5348E-24,0.1585E-25
-28.966,0.1618E-23,0.4822E-25
-28.946,0.4846E-23,0.1451E-24
-28.926,0.1435E-22,0.4322E-24
-28.906,0.4205E-22,0.1273E-23
-28.886,0.1219E-21,0.3711E-23
-28.866,0.3495E-21,0.1070E-22
-28.846,0.9914E-21,0.3053E-22
-28.826,0.2782E-20,0.8617E-22
-28.806,0.7722E-20,0.2406E-21
-28.786,0.2121E-19,0.6647E-21
-28.766,0.5761E-19,0.1817E-20
-28.746,0.1548E-18,0.4913E-20
-28.726,0.4116E-18,0.1315E-19
-28.706,0.1082E-17,0.3479E-19
-28.686,0.2816E-17,0.9112E-19
-28.666,0.7248E-17,0.2361E-18
-28.646,0.1845E-16,0.6052E-18
-28.626,0.4648E-16,0.1535E-17
-28.606,0.1158E-15,0.3851E-17
-28.586,0.2855E-15,0.9561E-17
-28.566,0.6961E-15,0.2348E-16
-28.546,0.1679E-14,0.5707E-16
-28.526,0.4007E-14,0.1372E-15
-28.506,0.9459E-14,0.3264E-15
-28.486,0.2209E-13,0.7681E-15
-28.466,0.5103E-13,0.1789E-14
-28.446,0.1166E-12,0.4121E-14
-28.426,0.2636E-12,0.9394E-14
-28.406,0.5896E-12,0.2119E-13
-28.386,0.1305E-11,0.4728E-13
-28.366,0.2855E-11,0.1044E-12
-28.346,0.6182E-11,0.2280E-12
-28.326,0.1324E-10,0.4928E-12
-28.306,0.2806E-10,0.1054E-11
-28.286,0.5881E-10,0.2230E-11
-28.266,0.1219E-09,0.4669E-11
-28.246,0.2501E-09,0.9672E-11
-28.226,0.5076E-09,0.1982E-10
-28.206,0.1019E-08,0.4020E-10
-28.186,0.2024E-08,0.8068E-10
-28.166,0.3975E-08,0.1602E-09
-28.146,0.7726E-08,0.3147E-09
-28.126,0.1485E-07,0.6118E-09
-28.106,0.2825E-07,0.1177E-08
-28.086,0.5315E-07,0.2240E-08
-28.066,0.9892E-07,0.4218E-08
-28.046,0.1821E-06,0.7861E-08
-28.026,0.3318E-06,0.1450E-07
-28.006,0.5978E-06,0.2645E-07
-27.986,0.1066E-05,0.4776E-07
-27.966,0.1879E-05,0.8534E-07
-27.946,0.3278E-05,0.1509E-06
-27.926,0.5656E-05,0.2640E-06
-27.906,0.9655E-05,0.4571E-06
-27.886,0.1631E-04,0.7832E-06
-27.866,0.2724E-04,0.1328E-05
-27.846,0.4502E-04,0.2228E-05
-27.826,0.7360E-04,0.3701E-05
-27.806,0.1190E-03,0.6081E-05
-27.786,0.1905E-03,0.9891E-05
-27.766,0.3015E-03,0.1592E-04
-27.746,0.4720E-03,0.2536E-04
-27.726,0.7311E-03,0.3998E-04
-27.706,0.1120E-02,0.6239E-04
-27.686,0.1698E-02,0.9635E-04
-27.666,0.2546E-02,0.1473E-03
-27.646,0.3777E-02,0.2228E-03
-27.626,0.5543E-02,0.3337E-03
-27.606,0.8047E-02,0.4946E-03
-27.586,0.1156E-01,0.7258E-03
-27.566,0.1642E-01,0.1054E-02
-27.546,0.2307E-01,0.1516E-02
-27.526,0.3208E-01,0.2157E-02
-27.506,0.4412E-01,0.3040E-02
-27.486,0.6003E-01,0.4240E-02
-27.466,0.8080E-01,0.5856E-02
-27.446,0.1076E+00,0.8008E-02
